name,full_address,city,state,postal_code,phone,site,rating,reviews,latitude,longitude,working_hours,place_id,type,subtypes,source_keyword,flag
Easy Mealz,"46 Hollinger Rd, East York, ON M4B 3G5",CA,Ontario,M4B 3G5,+1 416-388-5695,https://www.easymealz.ca/,4.8,154,43.714118899999995,-79.31358449999999,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['9a.m.-5p.m.'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJS-hezpfL1IkRf5K6LAsgzFs,Restaurant,Restaurant,shiva meal delivery Toronto,
DS Meal Prep,"3974 Chesswood Dr, North York, ON M3J 2W6",CA,Ontario,M3J 2W6,+1 416-717-6325,http://www.dsmealprep.ca/,4.9,30,43.7556406,-79.47783629999999,"{'Friday': ['11a.m.-5p.m.'], 'Monday': ['11a.m.-5p.m.'], 'Saturday': ['11a.m.-5p.m.'], 'Sunday': ['11a.m.-5p.m.'], 'Thursday': ['11a.m.-5p.m.'], 'Tuesday': ['11a.m.-5p.m.'], 'Wednesday': ['11a.m.-5p.m.']}",ChIJq6q6SkQlK4gR0BB-JHO1mAk,Health food restaurant,Health food restaurant,shiva meal delivery Toronto,
Protein Chefs - North York Healthy Meal Delivery,"20 Millwick Dr, North York, ON M9L 1Y3",North York,Ontario,M9L 1Y3,+1 833-585-1613,https://proteinchefs.com/pages/north-york-healthy-meal-delivery-company/,4.8,272,43.7570394,-79.5586764,"{'Friday': ['9a.m.-6p.m.'], 'Monday': ['9a.m.-6p.m.'], 'Saturday': ['9a.m.-6p.m.'], 'Sunday': ['9a.m.-6p.m.'], 'Thursday': ['9a.m.-6p.m.'], 'Tuesday': ['9a.m.-6p.m.'], 'Wednesday': ['9a.m.-6p.m.']}",ChIJB3lhCQsxK4gRx92540n9DeY,Caterer,"Caterer, Catering food and drink supplier, Food manufacturer, Food producer, Delivery Restaurant, Takeout Restaurant",shiva meal delivery Toronto,
HalalMeals,"103 Manville Rd, Scarborough, ON M1L 4H9",Scarborough,Ontario,M1L 4H9,+1 877-627-7861,https://www.halalmeals.ca/,3.9,114,43.721463,-79.2809214,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['9a.m.-5p.m.'], 'Sunday': ['9a.m.-5p.m.'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJAQCQR3LO1IkR3LiJVefHk0k,Delivery Service,Delivery Service,shiva meal delivery Toronto,
Sixteen Ounce,"100 Symes Rd Unit 112, Old Toronto, ON M6N 5C9",CA,Ontario,M6N 5C9,+1 647-864-2212,http://www.sixteenoz.com/,4.3,91,43.672567699999995,-79.4790013,None,ChIJr-lZk9A1K4gRmSAUXXt9jy8,Delivery Restaurant,"Delivery Restaurant, Health food store",shiva meal delivery Toronto,
Chefs Plate,"110 Spadina Ave., Toronto, ON M5V 2K4",Toronto,Ontario,M5V 2K4,+1 833-608-0883,http://chefsplate.com/,3.8,4968,43.6468637,-79.3960022,"{'Friday': ['8a.m.-10p.m.'], 'Monday': ['8a.m.-10p.m.'], 'Saturday': ['10a.m.-6p.m.'], 'Sunday': ['10a.m.-6p.m.'], 'Thursday': ['8a.m.-10p.m.'], 'Tuesday': ['8a.m.-10p.m.'], 'Wednesday': ['8a.m.-10p.m.']}",ChIJpzNVaS02K4gRTLC8muqluB4,Delivery Restaurant,"Delivery Restaurant, Grocery delivery service",shiva meal delivery Toronto,
Protein Chefs - Mississauga Healthy Meal Delivery,"30 Eglinton Ave W #400, Mississauga, ON L5R 3E7",Mississauga,Ontario,L5R 3E7,+1 833-585-1613,https://proteinchefs.com/mississauga-healthy-meal-delivery-company/,4.8,19,43.60546,-79.65317999999999,"{'Friday': ['9a.m.-6p.m.'], 'Monday': ['9a.m.-6p.m.'], 'Saturday': ['9a.m.-6p.m.'], 'Sunday': ['9a.m.-6p.m.'], 'Thursday': ['9a.m.-6p.m.'], 'Tuesday': ['9a.m.-6p.m.'], 'Wednesday': ['9a.m.-6p.m.']}",ChIJJxxdpD9BK4gRZll0072T6mo,Delivery Restaurant,"Delivery Restaurant, Caterer, Food manufacturer, Food producer, Takeout Restaurant",shiva meal delivery Toronto,
Satguru Meals,"York St, Toronto, ON M5J 2L7",Toronto,Ontario,M5J 2L7,+1 647-365-0885,https://wa.me/16473650885,3.9,54,43.725108299999995,-79.45280869999999,None,ChIJw75Wv3c1K4gRK4ltb0tYmKU,Delivery Restaurant,"Delivery Restaurant, Delivery Service",shiva meal delivery Toronto,
Shiva's Coffee Bar Scarborough,"3867 Lawrence Ave E, Scarborough, ON M1G 1R2",CA,Ontario,M1G 1R2,+1 416-338-9888,https://shivascoffeebar.com/,4.6,223,43.7628525,-79.20929,"{'Friday': ['11a.m.-1a.m.'], 'Monday': ['11a.m.-11p.m.'], 'Saturday': ['11a.m.-1a.m.'], 'Sunday': ['11a.m.-11p.m.'], 'Thursday': ['11a.m.-11p.m.'], 'Tuesday': ['11a.m.-11p.m.'], 'Wednesday': ['11a.m.-11p.m.']}",ChIJKd_iNZXR1IkRnBhpmfqj2VE,Indian restaurant,Indian restaurant,shiva meal delivery Toronto,
Balti Indian Restaurant,"2241a Bloor St W, Toronto, ON M6S 1N7",Toronto,Ontario,M6S 1N7,+1 416-551-5199,https://baltiindian.ca/,4.6,805,43.6508247,-79.4769685,"{'Friday': ['11:30a.m.-1a.m.'], 'Monday': ['11:30a.m.-1a.m.'], 'Saturday': ['11:30a.m.-1a.m.'], 'Sunday': ['11:30a.m.-1a.m.'], 'Thursday': ['11:30a.m.-1a.m.'], 'Tuesday': ['11:30a.m.-10p.m.'], 'Wednesday': ['11:30a.m.-1a.m.']}",ChIJGRVOJ4c2K4gRFd8pTJ-tqys,Delivery Restaurant,"Delivery Restaurant, Asian restaurant, Bar, Caterer, Indian sizzler restaurant, Indian takeaway, Indian restaurant, Takeout Restaurant, Nepalese restaurant, Restaurant",shiva meal delivery Toronto,
Habibz Corner,"1806 Jane St, York, ON M9N 2T3",York,Ontario,M9N 2T3,+1 647-329-3055,https://habibzcorner.com/,4.8,1984,43.7068796,-79.5052084,"{'Friday': ['12-6a.m.', '11a.m.-12a.m.'], 'Monday': ['12-6a.m.', '11a.m.-12a.m.'], 'Saturday': ['12-6a.m.', '11a.m.-12a.m.'], 'Sunday': ['12-6a.m.', '11a.m.-12a.m.'], 'Thursday': ['12-6a.m.', '11a.m.-12a.m.'], 'Tuesday': ['12-6a.m.', '11a.m.-12a.m.'], 'Wednesday': ['12-6a.m.', '11a.m.-12a.m.']}",ChIJ71R1HKUxK4gREbwRMnlPilI,Halal restaurant,Halal restaurant,shiva meal delivery Toronto,
Kosh,"1036 St Clair Ave W, Old Toronto, ON M6E 1A4",CA,Ontario,M6E 1A4,+1 416-652-6000,https://koshchai.com/,4.7,88,43.6791154,-79.4385044,"{'Friday': ['8a.m.-3:30p.m.'], 'Monday': ['12-10p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12-10p.m.'], 'Thursday': ['12-10p.m.'], 'Tuesday': ['12-10p.m.'], 'Wednesday': ['12-10p.m.']}",ChIJicLNSmQ1K4gRVP2opRK3hl4,Kosher restaurant,"Kosher restaurant, Restaurant",shiva meal delivery Toronto,
Toronto Kosher,"3459 Bathurst St #1, Toronto, ON M6A 2C5",Toronto,Ontario,M6A 2C5,+1 416-789-5333,https://www.torontokosher.com/,4.1,66,43.728589899999996,-79.4316315,"{'Friday': ['7a.m.-2p.m.'], 'Monday': ['8a.m.-6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['9a.m.-5:30p.m.'], 'Thursday': ['8a.m.-8p.m.'], 'Tuesday': ['8a.m.-7p.m.'], 'Wednesday': ['8a.m.-7p.m.']}",ChIJpcgJuFAyK4gR6rVZ0rz-qeY,Butcher shop,Butcher shop,shiva meal delivery Toronto,
L-eat Catering,"3829 Bathurst St, North York, ON M3H 3N1",CA,Ontario,M3H 3N1,+1 416-631-9226,http://www.leatcatering.com/,4.8,103,43.7397825,-79.43425599999999,"{'Friday': ['8a.m.-6p.m.'], 'Monday': ['8a.m.-6p.m.'], 'Saturday': ['11a.m.-5p.m.'], 'Sunday': ['Closed'], 'Thursday': ['8a.m.-6p.m.'], 'Tuesday': ['8a.m.-6p.m.'], 'Wednesday': ['8a.m.-6p.m.']}",ChIJic9Nj2cyK4gRqFltvZVMhZU,Caterer,"Caterer, Catering, Event management company, Food service, Restaurant supply store, Wedding planner",shiva meal delivery Toronto,
One Life Meals,"45 Cranfield Rd #13, East York, ON M4B 3H6",East York,Ontario,M4B 3H6,+1 437-294-0785,https://www.onelifemeals.com/,4.9,206,43.7151147,-79.3087936,"{'Friday': ['11a.m.-7p.m.'], 'Monday': ['11a.m.-7p.m.'], 'Saturday': ['11a.m.-7p.m.'], 'Sunday': ['11a.m.-7p.m.'], 'Thursday': ['11a.m.-7p.m.'], 'Tuesday': ['11a.m.-7p.m.'], 'Wednesday': ['11a.m.-7p.m.']}",ChIJrSP6m_jN1IkRJPueryDRa28,Health food store,"Health food store, Weight loss service",shiva meal delivery Toronto,
Sabhaya’s kitchen | Kathiyavadi Gujarati tiffin | Fast-food | Catering,"1585 Albion Rd, Etobicoke, ON M9V 1B6",CA,Ontario,M9V 1B6,+1 647-870-7048,https://www.sabhayaskitchen.com/home,5.0,108,43.740926699999996,-79.5903991,"{'Friday': ['7a.m.-8p.m.'], 'Monday': ['7a.m.-8p.m.'], 'Saturday': ['7a.m.-4p.m.'], 'Sunday': ['Closed'], 'Thursday': ['7a.m.-8p.m.'], 'Tuesday': ['7a.m.-8p.m.'], 'Wednesday': ['7a.m.-8p.m.']}",ChIJs8yV3DU7K4gR02-CXmEPyOk,Tiffin center,Tiffin center,shiva meal delivery Toronto,
Parkway Restaurant,"379 Eglinton Ave E, Toronto, ON M4P 1M5",Toronto,Ontario,M4P 1M5,+1 416-551-7910,https://parkwayrestaurant.ca/,4.4,953,43.7092111,-79.3851146,"{'Friday': ['11:30a.m.-12a.m.'], 'Monday': ['11:30a.m.-11p.m.'], 'Saturday': ['11:30a.m.-12a.m.'], 'Sunday': ['11:30a.m.-11p.m.'], 'Thursday': ['11:30a.m.-11p.m.'], 'Tuesday': ['11:30a.m.-11p.m.'], 'Wednesday': ['11:30a.m.-11p.m.']}",ChIJRxv7AJszK4gRFZIIDHrEpwQ,Persian restaurant,Persian restaurant,shiva platters Toronto,
Indraprastha Indian Kitchen and Bar,"5 Baldwin St, Toronto, ON M5T 1L1",Toronto,Ontario,M5T 1L1,+1 437-880-8349,https://www.instagram.com/indraprastha_torontodowntown%3Figsh%3DczVnbXB5bmppcmt6,4.6,1331,43.656058699999996,-79.3924699,"{'Friday': ['11:30a.m.-12a.m.'], 'Monday': ['11:30a.m.-11:30p.m.'], 'Saturday': ['11:30a.m.-12a.m.'], 'Sunday': ['9:30a.m.-12a.m.'], 'Thursday': ['11:30a.m.-11:30p.m.'], 'Tuesday': ['11:30a.m.-11:30p.m.'], 'Wednesday': ['11:30a.m.-11:30p.m.']}",ChIJh75IuJU1K4gREipUUdSSX58,Indian restaurant,"Indian restaurant, Bar, Modern Indian restaurant, North Indian restaurant",shiva platters Toronto,
Chef On The Go Catering & Event Services,"129 Turbine Dr, North York, ON M9L 2S7",North York,Ontario,M9L 2S7,+1 647-281-7090,http://www.chefonthego.ca/,4.9,64,43.7665049,-79.55678809999999,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJp06cDZIuK4gR7LJ4AxpphR4,Caterer,Caterer,shiva platters Toronto,
TOBEN Food By Design Catering,"150 Symes Rd Unit #130, York, ON M6N 0B1",CA,Ontario,M6N 0B1,+1 647-344-8323,https://www.tobenfoodbydesign.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dlocal,4.8,198.0,43.672956299999996,-79.4794415,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJSyWgvukzK4gRIBzj2KKi9qk,Caterer,"Caterer, Catering food and drink supplier, Event management company, Event planner, Event venue, Food producer",shiva food package Toronto,
Savours Fresh Market,"3011 Bathurst St, North York, ON M6B 3B5",North York,Ontario,M6B 3B5,+1 416-646-2277,https://www.savoursonline.ca/,4.5,258.0,43.7178495,-79.42909929999999,"{'Friday': ['7a.m.-4p.m.'], 'Monday': ['7a.m.-10p.m.'], 'Saturday': ['Closed'], 'Sunday': ['8a.m.-9p.m.'], 'Thursday': ['7a.m.-12a.m.'], 'Tuesday': ['7a.m.-10p.m.'], 'Wednesday': ['7a.m.-10p.m.']}",ChIJg91RCqszK4gRB0AyYz0if5A,Grocery store,"Grocery store, Kosher grocery store",shiva food package Toronto,
Kosher City Plus,"3468 Bathurst St, North York, ON M6A 2C5",North York,Ontario,M6A 2C5,+1 416-782-6788,http://www.koshercityplus.com/,4.5,223.0,43.72844,-79.43215699999999,"{'Friday': ['7:30a.m.-3p.m.'], 'Monday': ['7:30a.m.-9p.m.'], 'Saturday': ['Closed'], 'Sunday': ['7:30a.m.-6p.m.'], 'Thursday': ['7:30a.m.-10p.m.'], 'Tuesday': ['7:30a.m.-9p.m.'], 'Wednesday': ['7:30a.m.-10p.m.']}",ChIJB-WvwFAyK4gRiA8IrrnDgIk,Kosher grocery store,"Kosher grocery store, Supermarket",shiva food package Toronto,
Joeboos,"59 Lissom Crescent, North York, ON M2R 2P2",North York,Ontario,M2R 2P2,+1 647-300-2292,http://joeboos.com/,5.0,16.0,43.785635299999996,-79.44552159999999,"{'Friday': ['12a.m.-9p.m.'], 'Monday': ['12a.m.-9p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12a.m.-9p.m.'], 'Thursday': ['12a.m.-9p.m.'], 'Tuesday': ['12a.m.-9p.m.'], 'Wednesday': ['12a.m.-9p.m.']}",ChIJ3w0dVrstK4gRTR-sn897078,Caterer,Caterer,shiva food package Toronto,
Hartmans,"3500 Bathurst St, North York, ON M6A 2C6",CA,Ontario,M6A 2C6,+1 416-663-7779,https://www.hartmans.ca/,4.5,85.0,43.7289497,-79.432436,"{'Friday': ['7a.m.-2p.m.'], 'Monday': ['8a.m.-7p.m.'], 'Saturday': ['Closed'], 'Sunday': ['9a.m.-6p.m.'], 'Thursday': ['8a.m.-8p.m.'], 'Tuesday': ['8a.m.-7p.m.'], 'Wednesday': ['8a.m.-7p.m.']}",ChIJuZjVl1AyK4gRkEWGvvGkvI0,Butcher shop deli,"Butcher shop deli, Kosher grocery store",shiva food package Toronto,
Butzi Gifts,"1 Dundas St E #2500, Toronto, ON M5G 1Z3",Toronto,Ontario,M5G 1Z3,+1 647-614-5533,https://www.butzigiftbaskets.com/,4.8,193.0,43.656394299999995,-79.3825133,"{'Friday': ['Open 24 hours'], 'Monday': ['Open 24 hours'], 'Saturday': ['Open 24 hours'], 'Sunday': ['Open 24 hours'], 'Thursday': ['Open 24 hours'], 'Tuesday': ['Open 24 hours'], 'Wednesday': ['Open 24 hours']}",ChIJlzg5QGYtK4gRdEPdAY9kjKw,Gift basket store,"Gift basket store, Gift shop",shiva food package Toronto,
Shivas Chicken Wholesale,"186 Bartley Dr, North York, ON M4A 1E1",North York,Ontario,M4A 1E1,+1 416-910-3244,https://www.shivaschicken.ca/,4.2,16.0,43.7213729,-79.3132826,None,ChIJudAmfLjN1IkRA2_Ow17b6ss,Wholesaler,Wholesaler,shiva food package Toronto,
Turquoise Restaurant (Downtown Toronto),"431 Richmond St W, Toronto, ON M5V 1X9",Toronto,Ontario,M5V 1X9,+1 416-777-2240,https://turquoiserestaurants.com/,4.6,1095.0,43.647770699999995,-79.3967567,"{'Friday': ['11a.m.-11p.m.'], 'Monday': ['11a.m.-10:30p.m.'], 'Saturday': ['10:30a.m.-11p.m.'], 'Sunday': ['10:30a.m.-10:30p.m.'], 'Thursday': ['11a.m.-10:30p.m.'], 'Tuesday': ['11a.m.-10:30p.m.'], 'Wednesday': ['11a.m.-10:30p.m.']}",ChIJQTpDoTY1K4gRjsJiV56lin4,Turkish restaurant,"Turkish restaurant, Arab restaurant, Cafe, Doner kebab restaurant, Halal restaurant, Health food restaurant, Kebab shop, Middle Eastern restaurant, Restaurant, Tea house",shiva food package Toronto,
The Mercantile,"297 Roncesvalles Ave, Toronto, ON M6R 2M3",Toronto,Ontario,M6R 2M3,+1 416-531-7563,https://www.themercantile.ca/,4.8,106.0,43.6479098,-79.4495361,"{'Friday': ['10a.m.-7p.m.'], 'Monday': ['10a.m.-7p.m.'], 'Saturday': ['10a.m.-6p.m.'], 'Sunday': ['12-6p.m.'], 'Thursday': ['10a.m.-7p.m.'], 'Tuesday': ['10a.m.-7p.m.'], 'Wednesday': ['10a.m.-7p.m.']}",ChIJNzpPDDU0K4gR_qZcthSxTF0,Gourmet grocery store,"Gourmet grocery store, Gift basket store, Novelty store, Supermarket",shiva food package Toronto,
The Gourmet Gifts,"260 Yonge St Space E-2, Toronto, ON M4S 3E2",Toronto,Ontario,M4S 3E2,+1 866-541-8889,https://thegourmetgifts.ca/,4.1,199.0,43.698677599999996,-79.39689729999999,"{'Friday': ['8a.m.-10p.m.'], 'Monday': ['8a.m.-10p.m.'], 'Saturday': ['8a.m.-10p.m.'], 'Sunday': ['8a.m.-10p.m.'], 'Thursday': ['8a.m.-10p.m.'], 'Tuesday': ['8a.m.-10p.m.'], 'Wednesday': ['8a.m.-10p.m.']}",ChIJ9Q6wpePT1IkRlqZ6QUtSIU4,Gift basket store,Gift basket store,shiva food package Toronto,
