name,full_address,city,state,postal_code,phone,site,latitude,longitude,rating,reviews,working_hours,place_id,type,subtypes,category,description,source_keyword
F + B Kosher Catering,"5000 Dufferin St unit p, North York, ON M3H 5T5",North York,Ontario,M3H 5T5,+1 416-900-0918,https://fbkosher.com/,43.7820337,-79.4715513,4.8,38.0,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJOQmKKcQvK4gRZmJlNguLqrc,Caterer,Caterer,Caterer,,shiva catering Toronto
Chezsiva Cooking School,"52 Glenholme Ave, Toronto, ON M6H 3A9",Toronto,Ontario,M6H 3A9,+1 416-838-9157,http://chezsiva.com/,43.676845,-79.4381926,,,None,ChIJVVXx6nA0K4gRWyWkq5VLjtI,Cooking school,Cooking school,Cooking school,,shiva catering Toronto
Athletes Kitchen,"74 Jutland Rd Unit #31, Etobicoke, ON M8Z 2G6",Etobicoke,Ontario,M8Z 2G6,+1 416-516-0101,http://athleteskitchen.ca/,43.6282888,-79.5221334,4.8,150,"{'Friday': ['8a.m.-4p.m.'], 'Monday': ['8a.m.-4p.m.'], 'Saturday': ['8a.m.-4p.m.'], 'Sunday': ['8a.m.-4p.m.'], 'Thursday': ['Closed'], 'Tuesday': ['8a.m.-4p.m.'], 'Wednesday': ['8a.m.-4p.m.']}",ChIJs2q2_d40K4gRuEh-Tuni84c,Delivery Service,"Delivery Service, Catering food and drink supplier, Health food restaurant",Delivery service,"Meal delivery service providing seasonal, health-oriented fare for a range of dietary styles.",shiva meal delivery Toronto
On The Run Meals - Toronto Healthy Meal Delivery,"55 Nugget Ave, Scarborough, ON M1S 3L1",Scarborough,Ontario,M1S 3L1,+1 416-985-7116,https://otrmeals.com/,43.7921222,-79.2572735,4.9,853,"{'Friday': ['10a.m.-5p.m.'], 'Monday': ['10a.m.-5p.m.'], 'Saturday': ['10a.m.-1p.m.'], 'Sunday': ['11a.m.-8p.m.'], 'Thursday': ['10a.m.-8p.m.'], 'Tuesday': ['10a.m.-5p.m.'], 'Wednesday': ['10a.m.-8p.m.']}",ChIJLZwt7RDR1IkRwc5LnpeKnXY,Delivery Restaurant,Delivery Restaurant,Meal delivery,,shiva meal delivery Toronto
SHIVA SAKTHI RESTAURANT,"7166 Airport Rd, Mississauga, ON L4T 2H2",Mississauga,Ontario,L4T 2H2,+1 905-677-3555,https://www.shivasakthi.ca/,43.70693,-79.6473286,4.6,1770,"{'Friday': ['11:30a.m.-11p.m.'], 'Monday': ['11:30a.m.-11p.m.'], 'Saturday': ['12-11p.m.'], 'Sunday': ['12-10p.m.'], 'Thursday': ['11:30a.m.-11p.m.'], 'Tuesday': ['11:30a.m.-11p.m.'], 'Wednesday': ['11:30a.m.-11p.m.']}",ChIJGyfJwKE7K4gRbq-m1ao-eHo,Indian restaurant,"Indian restaurant, Family restaurant, Fast food restaurant, Halal restaurant, North Indian restaurant, South Indian restaurant",restaurants,,shiva meal delivery Toronto
Sandra’s Italian Kitchen,"2899 Steeles Ave W #12, North York, ON M3J 3A1",North York,Ontario,M3J 3A1,+1 416-665-1999,https://sandrasitaliankitchen.com/,43.781911699999995,-79.49140059999999,4.6,647,"{'Friday': ['10:45a.m.-4:45p.m.'], 'Monday': ['Closed'], 'Saturday': ['10:45a.m.-5:30p.m.'], 'Sunday': ['10:30a.m.-4:45p.m.'], 'Thursday': ['10:45a.m.-4:45p.m.'], 'Tuesday': ['10:30a.m.-7p.m.'], 'Wednesday': ['10:30a.m.-4:45p.m.']}",ChIJbScvuhA2V0ARzA76gNijLRk,Caterer,"Caterer, Italian restaurant, Halal restaurant, Takeout Restaurant, Pizza restaurant, Sandwich shop",restaurants,,shiva meal delivery Toronto
Power Kitchen,"46 Hollinger Rd, Toronto, ON M4B 3G5",Toronto,Ontario,M4B 3G5,+1 647-479-0413,https://powerkitchen.ca/,43.714118899999995,-79.31358449999999,4.7,543,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12-5p.m.'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJlwxHr3TL1IkR9246JZvwH-c,Delivery Restaurant,"Delivery Restaurant, Box lunch supplier, Caterer, Health food restaurant, Health food store, Delivery Service, Takeout Restaurant",Delivery service,,shiva meal delivery Toronto
Essential Meal Delivery,"37 Advance Rd #105, Etobicoke, ON M8Z 2S6",Etobicoke,Ontario,M8Z 2S6,+1 647-230-0085,http://www.essentialmealdelivery.com/,43.6335464,-79.5277629,4.5,60,"{'Friday': ['Closed'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['9a.m.-5p.m.'], 'Sunday': ['9a.m.-5p.m.'], 'Thursday': ['Closed'], 'Tuesday': ['Closed'], 'Wednesday': ['Closed']}",ChIJoxbFKec0K4gRY2ppTKX2Vwk,Delivery Restaurant,"Delivery Restaurant, Caterer",Meal delivery,,shiva meal delivery Toronto
Hi Chef,"105 Vanderhoof Ave, East York, ON M4G 2H7",CA,Ontario,M4G 2H7,+1 289-830-5300,http://www.hichef.ca/,43.7119536,-79.36036849999999,4.9,58,"{'Friday': ['8a.m.-9p.m.'], 'Monday': ['8a.m.-9p.m.'], 'Saturday': ['8a.m.-9p.m.'], 'Sunday': ['8a.m.-9p.m.'], 'Thursday': ['8a.m.-9p.m.'], 'Tuesday': ['8a.m.-9p.m.'], 'Wednesday': ['8a.m.-9p.m.']}",ChIJdeVkCbGG2wkRVqOS79fpDgQ,Delivery Restaurant,"Delivery Restaurant, Catering food and drink supplier, Caterer, Delivery Service, Health food restaurant, Personal chef service",Meal delivery,,shiva meal delivery Toronto
Easy Mealz,"46 Hollinger Rd, East York, ON M4B 3G5",CA,Ontario,M4B 3G5,+1 416-388-5695,https://www.easymealz.ca/,43.714118899999995,-79.31358449999999,4.8,154,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['9a.m.-5p.m.'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJS-hezpfL1IkRf5K6LAsgzFs,Restaurant,Restaurant,restaurants,,shiva meal delivery Toronto
DS Meal Prep,"3974 Chesswood Dr, North York, ON M3J 2W6",CA,Ontario,M3J 2W6,+1 416-717-6325,http://www.dsmealprep.ca/,43.7556406,-79.47783629999999,4.9,30,"{'Friday': ['11a.m.-5p.m.'], 'Monday': ['11a.m.-5p.m.'], 'Saturday': ['11a.m.-5p.m.'], 'Sunday': ['11a.m.-5p.m.'], 'Thursday': ['11a.m.-5p.m.'], 'Tuesday': ['11a.m.-5p.m.'], 'Wednesday': ['11a.m.-5p.m.']}",ChIJq6q6SkQlK4gR0BB-JHO1mAk,Health food restaurant,Health food restaurant,restaurants,,shiva meal delivery Toronto
Protein Chefs - North York Healthy Meal Delivery,"20 Millwick Dr, North York, ON M9L 1Y3",North York,Ontario,M9L 1Y3,+1 833-585-1613,https://proteinchefs.com/pages/north-york-healthy-meal-delivery-company/,43.7570394,-79.5586764,4.8,272,"{'Friday': ['9a.m.-6p.m.'], 'Monday': ['9a.m.-6p.m.'], 'Saturday': ['9a.m.-6p.m.'], 'Sunday': ['9a.m.-6p.m.'], 'Thursday': ['9a.m.-6p.m.'], 'Tuesday': ['9a.m.-6p.m.'], 'Wednesday': ['9a.m.-6p.m.']}",ChIJB3lhCQsxK4gRx92540n9DeY,Caterer,"Caterer, Catering food and drink supplier, Food manufacturer, Food producer, Delivery Restaurant, Takeout Restaurant",Caterer,,shiva meal delivery Toronto
HalalMeals,"103 Manville Rd, Scarborough, ON M1L 4H9",Scarborough,Ontario,M1L 4H9,+1 877-627-7861,https://www.halalmeals.ca/,43.721463,-79.2809214,3.9,114,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['9a.m.-5p.m.'], 'Sunday': ['9a.m.-5p.m.'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJAQCQR3LO1IkR3LiJVefHk0k,Delivery Service,Delivery Service,Delivery service,,shiva meal delivery Toronto
Sixteen Ounce,"100 Symes Rd Unit 112, Old Toronto, ON M6N 5C9",CA,Ontario,M6N 5C9,+1 647-864-2212,http://www.sixteenoz.com/,43.672567699999995,-79.4790013,4.3,91,None,ChIJr-lZk9A1K4gRmSAUXXt9jy8,Delivery Restaurant,"Delivery Restaurant, Health food store",Meal delivery,,shiva meal delivery Toronto
Chefs Plate,"110 Spadina Ave., Toronto, ON M5V 2K4",Toronto,Ontario,M5V 2K4,+1 833-608-0883,http://chefsplate.com/,43.6468637,-79.3960022,3.8,4968,"{'Friday': ['8a.m.-10p.m.'], 'Monday': ['8a.m.-10p.m.'], 'Saturday': ['10a.m.-6p.m.'], 'Sunday': ['10a.m.-6p.m.'], 'Thursday': ['8a.m.-10p.m.'], 'Tuesday': ['8a.m.-10p.m.'], 'Wednesday': ['8a.m.-10p.m.']}",ChIJpzNVaS02K4gRTLC8muqluB4,Delivery Restaurant,"Delivery Restaurant, Grocery delivery service",Meal delivery,,shiva meal delivery Toronto
Protein Chefs - Mississauga Healthy Meal Delivery,"30 Eglinton Ave W #400, Mississauga, ON L5R 3E7",Mississauga,Ontario,L5R 3E7,+1 833-585-1613,https://proteinchefs.com/mississauga-healthy-meal-delivery-company/,43.60546,-79.65317999999999,4.8,19,"{'Friday': ['9a.m.-6p.m.'], 'Monday': ['9a.m.-6p.m.'], 'Saturday': ['9a.m.-6p.m.'], 'Sunday': ['9a.m.-6p.m.'], 'Thursday': ['9a.m.-6p.m.'], 'Tuesday': ['9a.m.-6p.m.'], 'Wednesday': ['9a.m.-6p.m.']}",ChIJJxxdpD9BK4gRZll0072T6mo,Delivery Restaurant,"Delivery Restaurant, Caterer, Food manufacturer, Food producer, Takeout Restaurant",Meal delivery,,shiva meal delivery Toronto
Satguru Meals,"York St, Toronto, ON M5J 2L7",Toronto,Ontario,M5J 2L7,+1 647-365-0885,https://wa.me/16473650885,43.725108299999995,-79.45280869999999,3.9,54,None,ChIJw75Wv3c1K4gRK4ltb0tYmKU,Delivery Restaurant,"Delivery Restaurant, Delivery Service",Delivery service,,shiva meal delivery Toronto
Shiva's Coffee Bar Scarborough,"3867 Lawrence Ave E, Scarborough, ON M1G 1R2",CA,Ontario,M1G 1R2,+1 416-338-9888,https://shivascoffeebar.com/,43.7628525,-79.20929,4.6,223,"{'Friday': ['11a.m.-1a.m.'], 'Monday': ['11a.m.-11p.m.'], 'Saturday': ['11a.m.-1a.m.'], 'Sunday': ['11a.m.-11p.m.'], 'Thursday': ['11a.m.-11p.m.'], 'Tuesday': ['11a.m.-11p.m.'], 'Wednesday': ['11a.m.-11p.m.']}",ChIJKd_iNZXR1IkRnBhpmfqj2VE,Indian restaurant,Indian restaurant,restaurants,,shiva meal delivery Toronto
Balti Indian Restaurant,"2241a Bloor St W, Toronto, ON M6S 1N7",Toronto,Ontario,M6S 1N7,+1 416-551-5199,https://baltiindian.ca/,43.6508247,-79.4769685,4.6,805,"{'Friday': ['11:30a.m.-1a.m.'], 'Monday': ['11:30a.m.-1a.m.'], 'Saturday': ['11:30a.m.-1a.m.'], 'Sunday': ['11:30a.m.-1a.m.'], 'Thursday': ['11:30a.m.-1a.m.'], 'Tuesday': ['11:30a.m.-10p.m.'], 'Wednesday': ['11:30a.m.-1a.m.']}",ChIJGRVOJ4c2K4gRFd8pTJ-tqys,Delivery Restaurant,"Delivery Restaurant, Asian restaurant, Bar, Caterer, Indian sizzler restaurant, Indian takeaway, Indian restaurant, Takeout Restaurant, Nepalese restaurant, Restaurant",restaurants,"Classic Indian fare with beer & wine, served in a rustic setting with white tablecloths & art.",shiva meal delivery Toronto
Habibz Corner,"1806 Jane St, York, ON M9N 2T3",York,Ontario,M9N 2T3,+1 647-329-3055,https://habibzcorner.com/,43.7068796,-79.5052084,4.8,1984,"{'Friday': ['12-6a.m.', '11a.m.-12a.m.'], 'Monday': ['12-6a.m.', '11a.m.-12a.m.'], 'Saturday': ['12-6a.m.', '11a.m.-12a.m.'], 'Sunday': ['12-6a.m.', '11a.m.-12a.m.'], 'Thursday': ['12-6a.m.', '11a.m.-12a.m.'], 'Tuesday': ['12-6a.m.', '11a.m.-12a.m.'], 'Wednesday': ['12-6a.m.', '11a.m.-12a.m.']}",ChIJ71R1HKUxK4gREbwRMnlPilI,Halal restaurant,Halal restaurant,restaurants,,shiva meal delivery Toronto
Kosh,"1036 St Clair Ave W, Old Toronto, ON M6E 1A4",CA,Ontario,M6E 1A4,+1 416-652-6000,https://koshchai.com/,43.6791154,-79.4385044,4.7,88,"{'Friday': ['8a.m.-3:30p.m.'], 'Monday': ['12-10p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12-10p.m.'], 'Thursday': ['12-10p.m.'], 'Tuesday': ['12-10p.m.'], 'Wednesday': ['12-10p.m.']}",ChIJicLNSmQ1K4gRVP2opRK3hl4,Kosher restaurant,"Kosher restaurant, Restaurant",restaurants,,shiva meal delivery Toronto
Toronto Kosher,"3459 Bathurst St #1, Toronto, ON M6A 2C5",Toronto,Ontario,M6A 2C5,+1 416-789-5333,https://www.torontokosher.com/,43.728589899999996,-79.4316315,4.1,66,"{'Friday': ['7a.m.-2p.m.'], 'Monday': ['8a.m.-6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['9a.m.-5:30p.m.'], 'Thursday': ['8a.m.-8p.m.'], 'Tuesday': ['8a.m.-7p.m.'], 'Wednesday': ['8a.m.-7p.m.']}",ChIJpcgJuFAyK4gR6rVZ0rz-qeY,Butcher shop,Butcher shop,Butcher shop,,shiva meal delivery Toronto
L-eat Catering,"3829 Bathurst St, North York, ON M3H 3N1",CA,Ontario,M3H 3N1,+1 416-631-9226,http://www.leatcatering.com/,43.7397825,-79.43425599999999,4.8,103,"{'Friday': ['8a.m.-6p.m.'], 'Monday': ['8a.m.-6p.m.'], 'Saturday': ['11a.m.-5p.m.'], 'Sunday': ['Closed'], 'Thursday': ['8a.m.-6p.m.'], 'Tuesday': ['8a.m.-6p.m.'], 'Wednesday': ['8a.m.-6p.m.']}",ChIJic9Nj2cyK4gRqFltvZVMhZU,Caterer,"Caterer, Catering, Event management company, Food service, Restaurant supply store, Wedding planner",Caterer,,shiva meal delivery Toronto
One Life Meals,"45 Cranfield Rd #13, East York, ON M4B 3H6",East York,Ontario,M4B 3H6,+1 437-294-0785,https://www.onelifemeals.com/,43.7151147,-79.3087936,4.9,206,"{'Friday': ['11a.m.-7p.m.'], 'Monday': ['11a.m.-7p.m.'], 'Saturday': ['11a.m.-7p.m.'], 'Sunday': ['11a.m.-7p.m.'], 'Thursday': ['11a.m.-7p.m.'], 'Tuesday': ['11a.m.-7p.m.'], 'Wednesday': ['11a.m.-7p.m.']}",ChIJrSP6m_jN1IkRJPueryDRa28,Health food store,"Health food store, Weight loss service",Health food store,,shiva meal delivery Toronto
Sabhaya’s kitchen | Kathiyavadi Gujarati tiffin | Fast-food | Catering,"1585 Albion Rd, Etobicoke, ON M9V 1B6",CA,Ontario,M9V 1B6,+1 647-870-7048,https://www.sabhayaskitchen.com/home,43.740926699999996,-79.5903991,5.0,108,"{'Friday': ['7a.m.-8p.m.'], 'Monday': ['7a.m.-8p.m.'], 'Saturday': ['7a.m.-4p.m.'], 'Sunday': ['Closed'], 'Thursday': ['7a.m.-8p.m.'], 'Tuesday': ['7a.m.-8p.m.'], 'Wednesday': ['7a.m.-8p.m.']}",ChIJs8yV3DU7K4gR02-CXmEPyOk,Tiffin center,Tiffin center,Tiffin center,,shiva meal delivery Toronto
Parkway Restaurant,"379 Eglinton Ave E, Toronto, ON M4P 1M5",Toronto,Ontario,M4P 1M5,+1 416-551-7910,https://parkwayrestaurant.ca/,43.7092111,-79.3851146,4.4,953,"{'Friday': ['11:30a.m.-12a.m.'], 'Monday': ['11:30a.m.-11p.m.'], 'Saturday': ['11:30a.m.-12a.m.'], 'Sunday': ['11:30a.m.-11p.m.'], 'Thursday': ['11:30a.m.-11p.m.'], 'Tuesday': ['11:30a.m.-11p.m.'], 'Wednesday': ['11:30a.m.-11p.m.']}",ChIJRxv7AJszK4gRFZIIDHrEpwQ,Persian restaurant,Persian restaurant,restaurants,,shiva platters Toronto
Indraprastha Indian Kitchen and Bar,"5 Baldwin St, Toronto, ON M5T 1L1",Toronto,Ontario,M5T 1L1,+1 437-880-8349,https://www.instagram.com/indraprastha_torontodowntown%3Figsh%3DczVnbXB5bmppcmt6,43.656058699999996,-79.3924699,4.6,1331,"{'Friday': ['11:30a.m.-12a.m.'], 'Monday': ['11:30a.m.-11:30p.m.'], 'Saturday': ['11:30a.m.-12a.m.'], 'Sunday': ['9:30a.m.-12a.m.'], 'Thursday': ['11:30a.m.-11:30p.m.'], 'Tuesday': ['11:30a.m.-11:30p.m.'], 'Wednesday': ['11:30a.m.-11:30p.m.']}",ChIJh75IuJU1K4gREipUUdSSX58,Indian restaurant,"Indian restaurant, Bar, Modern Indian restaurant, North Indian restaurant",restaurants,,shiva platters Toronto
ZB Hospitality Group Inc.,"2301 Keele St, North York, ON M6M 3Z9",CA,Ontario,M6M 3Z9,+1 416-386-9946,http://www.zbhospitality.com/,43.704254399999996,-79.476277,4.4,51,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJ1T7ssWHN1IkR4yX5O4tAMqw,Event management company,Event management company,Event management company,,shiva platters Toronto
Chef On The Go Catering & Event Services,"129 Turbine Dr, North York, ON M9L 2S7",North York,Ontario,M9L 2S7,+1 647-281-7090,http://www.chefonthego.ca/,43.7665049,-79.55678809999999,4.9,64,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJp06cDZIuK4gR7LJ4AxpphR4,Caterer,Caterer,Caterer,,shiva platters Toronto
Gourmet Galaxy Catering,"20 Camden St Suite 200, Toronto, ON M5V 1V1",Toronto,Ontario,M5V 1V1,+1 416-767-9201,https://gourmetgalaxy.com/,43.6473699,-79.39699279999999,5.0,1,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJnd7qpY42K4gRXPKaC4XZ8Hg,Caterer,Caterer,Caterer,,shiva platters Toronto
The Village Shul,"1072 Eglinton Ave W, Toronto, ON M6C 2E2",Toronto,Ontario,M6C 2E2,+1 416-785-1107,http://www.ourvillageshul.com/,43.6999752,-79.43133329999999,4.8,60,"{'Friday': ['9a.m.-2p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['7:30a.m.-7p.m.'], 'Sunday': ['8a.m.-5p.m.'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJ5-liypgzK4gR8LSPYRjSICc,Orthodox synagogue,"Orthodox synagogue, Synagogue",Orthodox synagogue,,shiva platters Toronto
Eisenbergs - Dairy Restaurant & Caterer @ The Prosserman JCC,"4588 Bathurst St, North York, ON M2R 3V2",North York,Ontario,M2R 3V2,+1 416-638-1881,https://www.eisenbergsandwiches.com/,43.7627338,-79.4418798,4.6,61.0,"{'Friday': ['8:30a.m.-3p.m.'], 'Monday': ['8:30a.m.-7p.m.'], 'Saturday': ['Closed'], 'Sunday': ['8:30a.m.-6p.m.'], 'Thursday': ['8:30a.m.-7p.m.'], 'Tuesday': ['8:30a.m.-7p.m.'], 'Wednesday': ['8:30a.m.-7p.m.']}",ChIJ94g9dx0tK4gRZDQSQPRMD3Y,Kosher restaurant,"Kosher restaurant, Cafe, Catering food and drink supplier, Caterer, Event venue, Restaurant",restaurants,,shiva food package Toronto
TOBEN Food By Design Catering,"150 Symes Rd Unit #130, York, ON M6N 0B1",CA,Ontario,M6N 0B1,+1 647-344-8323,https://www.tobenfoodbydesign.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dlocal,43.672956299999996,-79.4794415,4.8,198.0,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJSyWgvukzK4gRIBzj2KKi9qk,Caterer,"Caterer, Catering food and drink supplier, Event management company, Event planner, Event venue, Food producer",Caterer,,shiva food package Toronto
